timestamp (ISO); user_id; trial; target_distance; target_size; movement_time (ms); start_pos_x; start_pos_y; end_pos_x; end_pos_y; click_offset_x; click_offset_y; was_error; pointing_technique; trial_name
2019-05-29T14:58:02; 1; 0; 300; 30; 1477; 419; 168; 711; 235; 0; 0; False; True; NH
2019-05-29T14:58:03; 1; 1; 150; 30; 991; 717; 233; 582; 298; 0; 0; False; True; NL
2019-05-29T14:58:04; 1; 2; 300; 30; 1047; 585; 292; 280; 264; 6; 1; False; False; PH
2019-05-29T14:58:05; 1; 3; 150; 30; 1012; 280; 264; 382; 150; -3; 0; False; False; PL
2019-05-29T14:58:06; 1; 4; 300; 30; 796; 382; 150; 649; 286; 0; 0; False; True; NH
2019-05-29T14:58:07; 1; 5; 150; 30; 1112; 610; 275; 759; 282; 0; 0; False; True; NL
2019-05-29T14:58:08; 1; 6; 300; 30; 840; 769; 274; 524; 98; 0; 3; False; False; PH
2019-05-29T14:58:08; 1; 7; 150; 30; 802; 524; 98; 567; 247; -4; -4; False; False; PL
2019-05-29T14:58:09; 1; 8; 300; 30; 789; 567; 247; 286; 354; 0; 0; False; True; NH
2019-05-29T14:58:10; 1; 9; 150; 30; 927; 310; 351; 450; 297; 0; 0; False; True; NL
2019-05-29T14:58:11; 1; 10; 300; 30; 1189; 452; 295; 747; 263; 2; -4; False; False; PH
2019-05-29T14:58:12; 1; 11; 150; 30; 1074; 747; 263; 766; 113; -3; 0; False; False; PL
2019-05-29T14:58:13; 1; 12; 300; 30; 869; 766; 113; 602; 364; 0; 0; False; True; NH
2019-05-29T14:58:14; 1; 13; 150; 30; 1047; 595; 356; 445; 369; 0; 0; False; True; NL
2019-05-29T14:58:16; 1; 14; 300; 30; 1196; 445; 346; 520; 51; -2; 3; False; False; PH
2019-05-29T14:58:16; 1; 15; 150; 30; 790; 520; 51; 606; 160; 10; 5; False; False; PL
2019-05-29T14:58:17; 1; 16; 300; 30; 690; 606; 160; 311; 102; 0; 0; False; True; NH
2019-05-29T14:58:18; 1; 17; 150; 30; 795; 328; 100; 457; 175; 0; 0; False; True; NL
2019-05-29T14:58:19; 1; 18; 300; 30; 676; 453; 176; 728; 173; 24; -12; False; False; PH
2019-05-29T14:58:19; 1; 19; 150; 30; 882; 728; 173; 680; 317; -3; -3; False; False; PL
2019-05-29T14:58:20; 1; 20; 300; 30; 807; 680; 317; 539; 52; 0; 0; False; True; NH
2019-05-29T14:58:21; 1; 21; 150; 30; 886; 542; 66; 434; 170; 0; 0; False; True; NL
2019-05-29T14:58:22; 1; 22; 300; 30; 900; 438; 173; 731; 205; 5; -5; False; False; PH
2019-05-29T14:58:23; 1; 23; 150; 30; 856; 731; 205; 725; 55; 3; 0; False; False; PL
2019-05-29T14:58:24; 1; 24; 300; 30; 904; 725; 55; 652; 346; 0; 0; False; True; NH
2019-05-29T14:58:25; 1; 25; 150; 30; 946; 639; 331; 490; 312; 0; 0; False; True; NL
2019-05-29T14:58:26; 1; 26; 300; 30; 797; 500; 306; 227; 351; -22; 7; False; False; PH
2019-05-29T14:58:27; 1; 27; 150; 30; 1154; 227; 351; 190; 209; -21; 3; False; False; PL
2019-05-29T14:58:28; 1; 28; 300; 30; 946; 190; 209; 483; 271; 0; 0; False; True; NH
2019-05-29T14:58:28; 1; 29; 150; 30; 767; 468; 268; 318; 273; 0; 0; False; True; NL
2019-05-29T14:58:30; 1; 30; 300; 30; 1274; 330; 272; 552; 174; 42; -42; True; False; PH
2019-05-29T14:58:30; 1; 30; 300; 30; 2046; 330; 272; 593; 134; 1; -2; False; False; PH
2019-05-29T14:58:31; 1; 31; 150; 30; 706; 593; 134; 466; 211; -1; 0; False; False; PL
2019-05-29T14:58:32; 1; 32; 300; 30; 873; 466; 211; 166; 190; 0; 0; False; True; NH
2019-05-29T14:58:33; 1; 33; 150; 30; 825; 188; 197; 310; 110; 0; 0; False; True; NL
2019-05-29T14:58:34; 1; 34; 300; 30; 808; 321; 112; 498; 359; 0; -4; False; False; PH
2019-05-29T14:58:34; 1; 35; 150; 30; 821; 498; 359; 523; 209; -6; 1; False; False; PL
2019-05-29T14:58:35; 1; 36; 300; 30; 960; 523; 209; 229; 146; 0; 0; False; True; NH
2019-05-29T14:58:36; 1; 37; 150; 30; 902; 239; 161; 150; 282; 0; 0; False; True; NL
2019-05-29T14:58:37; 1; 38; 300; 30; 782; 164; 281; 392; 89; -1; -4; False; False; PH
2019-05-29T14:58:38; 1; 39; 150; 30; 820; 392; 89; 263; 155; -8; -4; False; False; PL
2019-05-29T09:10:32; 2; 0; 150; 30; 960; 392; 202; 280; 115; -4; -7; False; False; PL
2019-05-29T09:10:33; 2; 1; 300; 30; 1197; 280; 115; 590; 169; -13; -7; False; False; PH
2019-05-29T09:10:34; 2; 2; 150; 30; 1032; 590; 169; 709; 259; 0; 0; False; True; NL
2019-05-29T09:10:35; 2; 3; 300; 30; 1107; 699; 262; 405; 199; 0; 0; False; True; NH
2019-05-29T09:10:36; 2; 4; 150; 30; 1049; 404; 201; 403; 358; 1; -7; False; False; PL
2019-05-29T09:10:38; 2; 5; 300; 30; 1511; 403; 358; 108; 323; -3; 8; False; False; PH
2019-05-29T09:10:39; 2; 6; 150; 30; 936; 108; 323; 230; 236; 0; 0; False; True; NL
2019-05-29T09:10:40; 2; 7; 300; 30; 1275; 225; 242; 508; 339; 0; 0; False; True; NH
2019-05-29T09:10:41; 2; 8; 150; 30; 1017; 504; 334; 488; 180; 5; 4; False; False; PL
2019-05-29T09:10:42; 2; 9; 300; 30; 1126; 488; 180; 779; 83; -9; -5; False; False; PH
2019-05-29T09:10:43; 2; 10; 150; 30; 977; 779; 83; 688; 202; 0; 0; False; True; NL
2019-05-29T09:10:44; 2; 11; 300; 30; 861; 686; 214; 390; 161; 0; 0; False; True; NH
2019-05-29T09:10:45; 2; 12; 150; 30; 867; 382; 153; 429; 295; 4; -1; False; False; PL
2019-05-29T09:10:46; 2; 13; 300; 30; 1256; 429; 295; 137; 207; 5; 0; False; False; PH
2019-05-29T09:10:47; 2; 14; 150; 30; 948; 137; 207; 286; 199; 0; 0; False; True; NL
2019-05-29T09:10:49; 2; 15; 300; 30; 1378; 294; 206; 575; 308; 0; 0; False; True; NH
2019-05-29T09:10:50; 2; 16; 150; 30; 1349; 584; 314; 550; 175; 0; -7; False; False; PL
2019-05-29T09:10:51; 2; 17; 300; 30; 1175; 550; 175; 248; 213; 4; -1; False; False; PH
2019-05-29T09:10:52; 2; 18; 150; 30; 1079; 248; 213; 311; 77; 0; 0; False; True; NL
2019-05-29T09:10:53; 2; 19; 300; 30; 1128; 302; 88; 601; 67; 0; 0; False; True; NH
2019-05-29T09:10:54; 2; 20; 150; 30; 921; 610; 63; 749; 98; 7; -1; False; False; PL
2019-05-29T09:10:55; 2; 21; 300; 30; 956; 749; 98; 469; 176; -8; 4; False; False; PH
2019-05-29T09:10:56; 2; 22; 150; 30; 1160; 469; 176; 476; 325; 0; 0; False; True; NL
2019-05-29T09:10:58; 2; 23; 300; 30; 1237; 489; 321; 266; 120; 0; 0; False; True; NH
2019-05-29T09:10:59; 2; 24; 150; 30; 974; 275; 118; 364; 230; 1; 7; False; False; PL
2019-05-29T09:11:00; 2; 25; 300; 30; 1143; 364; 230; 651; 341; -1; -18; False; False; PH
2019-05-29T09:11:01; 2; 26; 150; 30; 1008; 651; 341; 567; 216; 0; 0; False; True; NL
2019-05-29T09:11:02; 2; 27; 300; 30; 1069; 575; 226; 338; 41; 0; 0; False; True; NH
2019-05-29T09:11:03; 2; 28; 150; 30; 1161; 337; 37; 489; 74; -7; 1; False; False; PL
2019-05-29T09:11:04; 2; 29; 300; 30; 1057; 489; 74; 775; 193; -9; -1; False; False; PH
2019-05-29T09:11:05; 2; 30; 150; 30; 1404; 775; 193; 637; 131; 0; 0; False; True; NL
2019-05-29T09:11:06; 2; 31; 300; 30; 971; 632; 131; 357; 253; 0; 0; False; True; NH
2019-05-29T09:11:07; 2; 32; 150; 30; 1007; 367; 253; 407; 104; 3; 5; False; False; PL
2019-05-29T09:11:09; 2; 33; 300; 30; 1153; 407; 104; 582; 334; 5; 9; False; False; PH
2019-05-29T09:11:10; 2; 34; 150; 30; 1053; 582; 334; 433; 352; 0; 0; False; True; NL
2019-05-29T09:11:11; 2; 35; 300; 30; 1113; 438; 344; 144; 281; 0; 0; False; True; NH
2019-05-29T09:11:12; 2; 36; 150; 30; 1110; 147; 268; 121; 124; 2; -4; False; False; PL
2019-05-29T09:11:13; 2; 37; 300; 30; 1250; 121; 124; 327; 346; 2; -6; False; False; PH
2019-05-29T09:11:14; 2; 38; 150; 30; 980; 327; 346; 355; 198; 0; 0; False; True; NL
2019-05-29T09:11:15; 2; 39; 300; 30; 1137; 355; 207; 629; 84; 0; 0; False; True; NH
2019-05-29T09:00:48; 3; 0; 150; 30; 1311; 418; 209; 553; 145; 0; 0; False; True; NL
2019-05-29T09:00:49; 3; 1; 150; 30; 1010; 555; 148; 429; 64; -3; 8; False; False; PL
2019-05-29T09:00:51; 3; 2; 300; 30; 1828; 429; 64; 491; 357; 0; 0; False; True; NH
