ParticipantID,Stimulus,Complexity,Distraction,PressedKey,CorrectKey,ReactionTime,Timestamp
1,16,Attentive,Yes,71,Yes,0:00:01.055722,2019-05-15 09:34:47.760568
1,19,Attentive,No,72,Yes,0:00:01.014640,2019-05-15 09:34:49.776615
1,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.308776,2019-05-15 09:34:52.087487
1,#B80000,Pre-attentive,No,72,Yes,0:00:00.976670,2019-05-15 09:34:54.066844
1,12,Attentive,Yes,71,Yes,0:00:01.516931,2019-05-15 09:34:56.584978
1,12,Attentive,No,71,Yes,0:00:00.851083,2019-05-15 09:34:58.437693
1,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.346768,2019-05-15 09:35:00.785743
1,#B80000,Pre-attentive,No,72,Yes,0:00:00.831221,2019-05-15 09:35:02.619278
1,11,Attentive,Yes,72,Yes,0:00:01.134973,2019-05-15 09:35:04.755934
1,34,Attentive,No,71,Yes,0:00:01.148035,2019-05-15 09:35:06.907796
1,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.177832,2019-05-15 09:35:09.090114
1,#00008B,Pre-attentive,No,71,Yes,0:00:00.922510,2019-05-15 09:35:11.016267
1,12,Attentive,Yes,71,Yes,0:00:00.905383,2019-05-15 09:35:12.925088
1,8,Attentive,No,71,Yes,0:00:00.713187,2019-05-15 09:35:14.641422
1,#00008B,Pre-attentive,Yes,71,Yes,0:00:01.076595,2019-05-15 09:35:16.722471
1,#00008B,Pre-attentive,No,71,Yes,0:00:00.597771,2019-05-15 09:35:18.322846
1,41,Attentive,Yes,72,Yes,0:00:01.108296,2019-05-15 09:35:20.434666
1,23,Attentive,No,72,Yes,0:00:01.242192,2019-05-15 09:35:22.678870
1,#B80000,Pre-attentive,Yes,72,Yes,0:00:01.475612,2019-05-15 09:35:25.157256
1,#B80000,Pre-attentive,No,72,Yes,0:00:00.745662,2019-05-15 09:35:26.904681
1,28,Attentive,Yes,71,Yes,0:00:00.894578,2019-05-15 09:35:28.806928
1,21,Attentive,No,72,Yes,0:00:00.927493,2019-05-15 09:35:30.736223
